Name,Emotion,Time
Student 1,angry,2026-06-13 23:25:06
Student 2,neutral,2026-06-13 23:25:06
Student 3,neutral,2026-06-13 23:25:06
Student 4,neutral,2026-06-13 23:25:06
Student 5,neutral,2026-06-13 23:25:06
Student 6,neutral,2026-06-13 23:25:06
Student 7,neutral,2026-06-13 23:25:06
Student 8,neutral,2026-06-13 23:25:06
Student 9,neutral,2026-06-13 23:25:06
Student 10,neutral,2026-06-13 23:25:07
Student 11,neutral,2026-06-13 23:25:07
Student 12,neutral,2026-06-13 23:25:07
Student 13,neutral,2026-06-13 23:25:07
Student 14,neutral,2026-06-13 23:25:07
Student 15,neutral,2026-06-13 23:25:07
Student 16,neutral,2026-06-13 23:25:07
Student 17,sad,2026-06-13 23:25:07
Student 18,neutral,2026-06-13 23:25:07
Student 19,neutral,2026-06-13 23:25:07
Student 20,neutral,2026-06-13 23:25:07
Student 21,angry,2026-06-13 23:25:07
Student 22,fear,2026-06-13 23:25:07
Student 23,neutral,2026-06-13 23:25:07
Student 24,fear,2026-06-13 23:25:08
Student 25,fear,2026-06-13 23:25:08
Student 26,fear,2026-06-13 23:25:08
Student 27,sad,2026-06-13 23:25:08
Student 28,fear,2026-06-13 23:25:08
Student 29,happy,2026-06-13 23:25:08
Student 30,fear,2026-06-13 23:25:08
Student 31,fear,2026-06-13 23:25:08
Student 32,happy,2026-06-13 23:25:08
Student 33,happy,2026-06-13 23:25:08
Student 34,happy,2026-06-13 23:25:08
Student 35,fear,2026-06-13 23:25:08
Student 36,happy,2026-06-13 23:25:08
Student 37,fear,2026-06-13 23:25:08
Student 38,sad,2026-06-13 23:25:09
Student 39,happy,2026-06-13 23:25:09
Student 40,neutral,2026-06-13 23:25:09
Student 41,happy,2026-06-13 23:25:09
Student 42,happy,2026-06-13 23:25:09
Student 43,happy,2026-06-13 23:25:09
Student 44,happy,2026-06-13 23:25:09
Student 45,happy,2026-06-13 23:25:09
Student 46,happy,2026-06-13 23:25:09
Student 47,happy,2026-06-13 23:25:09
Student 48,happy,2026-06-13 23:25:09
Student 49,happy,2026-06-13 23:25:09
Student 50,happy,2026-06-13 23:25:09
Student 51,happy,2026-06-13 23:25:09
Student 52,happy,2026-06-13 23:25:10
Student 53,happy,2026-06-13 23:25:10
Student 54,happy,2026-06-13 23:25:10
Student 55,angry,2026-06-13 23:25:10
Student 56,sad,2026-06-13 23:25:10
Student 57,sad,2026-06-13 23:25:10
Student 58,sad,2026-06-13 23:25:10
Student 59,sad,2026-06-13 23:25:10
Student 60,sad,2026-06-13 23:25:10
Student 61,sad,2026-06-13 23:25:10
Student 62,sad,2026-06-13 23:25:10
Student 63,sad,2026-06-13 23:25:10
Student 64,sad,2026-06-13 23:25:10
Student 65,sad,2026-06-13 23:25:11
Student 66,sad,2026-06-13 23:25:11
Student 67,sad,2026-06-13 23:25:11
Student 68,neutral,2026-06-13 23:25:11
Student 69,neutral,2026-06-13 23:25:11
Student 70,neutral,2026-06-13 23:25:11
Student 71,neutral,2026-06-13 23:25:11
Student 72,neutral,2026-06-13 23:25:11
Student 73,neutral,2026-06-13 23:25:11
Student 74,neutral,2026-06-13 23:25:11
Student 75,neutral,2026-06-13 23:25:11
Student 76,neutral,2026-06-13 23:25:11
Student 77,neutral,2026-06-13 23:25:11
Student 78,neutral,2026-06-13 23:25:11
Student 79,neutral,2026-06-13 23:25:12
Student 80,neutral,2026-06-13 23:25:12
Student 81,neutral,2026-06-13 23:25:12
Student 82,neutral,2026-06-13 23:25:12
Student 83,neutral,2026-06-13 23:25:12
Student 84,neutral,2026-06-13 23:25:12
Student 85,neutral,2026-06-13 23:25:12
Student 86,neutral,2026-06-13 23:25:12
Student 87,neutral,2026-06-13 23:25:12
Student 88,neutral,2026-06-13 23:25:12
Student 89,neutral,2026-06-13 23:25:12
Student 90,neutral,2026-06-13 23:25:12
Student 91,neutral,2026-06-13 23:25:12
Student 92,neutral,2026-06-13 23:25:12
Student 93,neutral,2026-06-13 23:25:13
Student 94,neutral,2026-06-13 23:25:13
Student 95,neutral,2026-06-13 23:25:13
Student 96,neutral,2026-06-13 23:25:13
Student 97,neutral,2026-06-13 23:25:13
Student 98,neutral,2026-06-13 23:25:13
Student 99,neutral,2026-06-13 23:25:13
Student 100,neutral,2026-06-13 23:25:13
Student 101,neutral,2026-06-13 23:25:13
Student 102,neutral,2026-06-13 23:25:13
Student 103,neutral,2026-06-13 23:25:13
Student 104,neutral,2026-06-13 23:25:13
Student 105,angry,2026-06-13 23:25:13
Student 106,angry,2026-06-13 23:25:13
Student 107,surprise,2026-06-13 23:25:14
Student 108,surprise,2026-06-13 23:25:14
Student 109,surprise,2026-06-13 23:25:14
Student 110,surprise,2026-06-13 23:25:14
Student 111,surprise,2026-06-13 23:25:14
Student 112,surprise,2026-06-13 23:25:14
Student 113,angry,2026-06-13 23:25:14
Student 114,surprise,2026-06-13 23:25:14
Student 115,surprise,2026-06-13 23:25:14
Student 116,sad,2026-06-13 23:25:14
Student 117,sad,2026-06-13 23:25:14
Student 118,sad,2026-06-13 23:25:14
Student 119,angry,2026-06-13 23:25:14
Student 120,sad,2026-06-13 23:25:14
Student 121,sad,2026-06-13 23:25:15
Student 122,sad,2026-06-13 23:25:15
Student 123,surprise,2026-06-13 23:25:15
Student 124,surprise,2026-06-13 23:25:15
Student 125,fear,2026-06-13 23:25:15
Student 126,fear,2026-06-13 23:25:15
Student 127,surprise,2026-06-13 23:25:15
Student 128,fear,2026-06-13 23:25:15
Student 129,surprise,2026-06-13 23:25:15
Student 130,surprise,2026-06-13 23:25:15
Student 131,surprise,2026-06-13 23:25:15
Student 132,surprise,2026-06-13 23:25:15
Student 133,surprise,2026-06-13 23:25:15
Student 134,surprise,2026-06-13 23:25:15
Student 135,surprise,2026-06-13 23:25:16
Student 136,surprise,2026-06-13 23:25:16
Student 137,surprise,2026-06-13 23:25:16
Student 138,surprise,2026-06-13 23:25:16
Student 139,surprise,2026-06-13 23:25:16
Student 140,surprise,2026-06-13 23:25:16
Student 141,surprise,2026-06-13 23:25:16
Student 142,surprise,2026-06-13 23:25:16
Student 143,surprise,2026-06-13 23:25:16
Student 144,happy,2026-06-13 23:25:16
Student 145,happy,2026-06-13 23:25:16
Student 146,neutral,2026-06-13 23:25:16
Student 147,neutral,2026-06-13 23:25:16
Student 148,neutral,2026-06-13 23:25:16
Student 149,neutral,2026-06-13 23:25:17
Student 150,sad,2026-06-13 23:25:17
Student 151,sad,2026-06-13 23:25:17
Student 152,neutral,2026-06-13 23:25:17
Student 153,neutral,2026-06-13 23:25:17
Student 154,neutral,2026-06-13 23:25:17
Student 155,neutral,2026-06-13 23:25:17
Student 156,neutral,2026-06-13 23:25:17
Student 157,neutral,2026-06-13 23:25:17
Student 158,neutral,2026-06-13 23:25:17
Student 159,sad,2026-06-13 23:25:17
Student 160,sad,2026-06-13 23:25:17
Student 161,sad,2026-06-13 23:25:17
Student 162,neutral,2026-06-13 23:25:17
Student 163,neutral,2026-06-13 23:25:17
Student 164,neutral,2026-06-13 23:25:18
Student 165,sad,2026-06-13 23:25:18
Student 166,sad,2026-06-13 23:25:18
Student 167,sad,2026-06-13 23:25:18
Student 168,sad,2026-06-13 23:25:18
Student 169,sad,2026-06-13 23:25:18
Student 170,sad,2026-06-13 23:25:18
Student 171,sad,2026-06-13 23:25:18
Student 172,sad,2026-06-13 23:25:18
Student 173,sad,2026-06-13 23:25:18
Student 174,neutral,2026-06-13 23:25:18
Student 175,neutral,2026-06-13 23:25:18
Student 176,neutral,2026-06-13 23:25:18
Student 177,neutral,2026-06-13 23:25:18
Student 178,neutral,2026-06-13 23:25:18
Student 179,neutral,2026-06-13 23:25:19
Student 180,neutral,2026-06-13 23:25:19
Student 181,neutral,2026-06-13 23:25:19
Student 182,neutral,2026-06-13 23:25:19
Student 183,neutral,2026-06-13 23:25:19
Student 184,neutral,2026-06-13 23:25:19
Student 185,neutral,2026-06-13 23:25:19
Student 186,sad,2026-06-13 23:25:19
Student 187,neutral,2026-06-13 23:25:19
Student 188,neutral,2026-06-13 23:25:19
Student 189,neutral,2026-06-13 23:25:19
Student 190,neutral,2026-06-13 23:25:19
Student 191,neutral,2026-06-13 23:25:19
Student 192,neutral,2026-06-13 23:25:19
Student 193,sad,2026-06-13 23:25:20
Student 194,sad,2026-06-13 23:25:20
Student 195,sad,2026-06-13 23:25:20
Student 196,neutral,2026-06-13 23:25:20
Student 197,neutral,2026-06-13 23:25:20
Student 198,neutral,2026-06-13 23:25:20
Student 199,sad,2026-06-13 23:25:20
Student 200,sad,2026-06-13 23:25:20
Student 201,neutral,2026-06-13 23:25:20
Student 202,neutral,2026-06-13 23:25:20
Student 203,neutral,2026-06-13 23:25:20
Student 204,neutral,2026-06-13 23:25:20
Student 205,neutral,2026-06-13 23:25:20
Student 206,neutral,2026-06-13 23:25:20
Student 207,neutral,2026-06-13 23:25:20
